Architecture,Expansion,K,Optimizer,LR,Checkpoint,Layer,Avg L0,Recon Loss (MSE),Recon Loss (NMSE),Dead Latents %,Delta Loss,Frac Rec %,Model,Chain
TopK,8,64,Adam,0.0001,ppo_step50,23,64,,0.2905,,0.6639,95.67,Qwen2.5-0.5B-Instruct,strict
TopK,8,64,Adam,0.0001,ppo_step80,6,64,,0.0003,,0.1118,98.71,Qwen2.5-0.5B-Instruct,strict
TopK,8,64,Adam,0.0001,ppo_step80,12,64,,0.0007,,0.2329,96.93,Qwen2.5-0.5B-Instruct,strict
TopK,8,64,Adam,0.0001,ppo_step80,18,64,,0.0032,,0.3559,95.69,Qwen2.5-0.5B-Instruct,strict
TopK,8,64,Adam,0.0001,ppo_step80,23,64,,0.2892,,0.6744,95.68,Qwen2.5-0.5B-Instruct,strict
TopK,8,64,Adam,0.0001,ppo_step116,6,64,,0.0003,,0.1274,98.52,Qwen2.5-0.5B-Instruct,strict
TopK,8,64,Adam,0.0001,ppo_step116,12,64,,0.0007,,0.2569,96.56,Qwen2.5-0.5B-Instruct,strict
TopK,8,64,Adam,0.0001,ppo_step116,18,64,,0.0033,,0.4083,95.01,Qwen2.5-0.5B-Instruct,strict
TopK,8,64,Adam,0.0001,ppo_step116,23,64,,0.2896,,0.696,95.75,Qwen2.5-0.5B-Instruct,strict
TopK,8,256,Adam,0.0001,instruct_base,23,256,,0.1751,,0.2731,97.91,Qwen2.5-0.5B-Instruct,strict
TopK,8,256,Adam,0.0001,ppo_step10,23,256,,0.1632,,0.2345,98.21,Qwen2.5-0.5B-Instruct,strict
TopK,8,256,Adam,0.0001,ppo_step30,23,256,,0.1632,,0.2357,98.38,Qwen2.5-0.5B-Instruct,strict
TopK,8,256,Adam,0.0001,ppo_step50,23,256,,0.1593,,0.2324,98.48,Qwen2.5-0.5B-Instruct,strict
TopK,8,256,Adam,0.0001,ppo_step80,23,256,,0.1552,,0.2324,98.51,Qwen2.5-0.5B-Instruct,strict
TopK,8,256,Adam,0.0001,ppo_step116,23,256,,0.1524,,0.2333,98.57,Qwen2.5-0.5B-Instruct,strict
TopK,8,64,Adam,0.0001,instruct_base,6,64,,0.0005,,0.1701,98.13,Qwen2.5-0.5B-Instruct,kl0p025
TopK,8,64,Adam,0.0001,instruct_base,12,64,,0.0008,,0.2712,96.47,Qwen2.5-0.5B-Instruct,kl0p025
TopK,8,64,Adam,0.0001,instruct_base,18,64,,0.0037,,0.3618,95.65,Qwen2.5-0.5B-Instruct,kl0p025
TopK,8,64,Adam,0.0001,instruct_base,23,64,,0.3012,,0.6415,95.08,Qwen2.5-0.5B-Instruct,kl0p025
TopK,8,64,Adam,0.0001,ppo_step10,6,64,,0.0005,,0.1545,98.3,Qwen2.5-0.5B-Instruct,kl0p025
TopK,8,64,Adam,0.0001,ppo_step10,12,64,,0.0008,,0.2063,97.3,Qwen2.5-0.5B-Instruct,kl0p025
TopK,8,64,Adam,0.0001,ppo_step10,18,64,,0.0034,,0.3101,96.27,Qwen2.5-0.5B-Instruct,kl0p025
TopK,8,64,Adam,0.0001,ppo_step10,23,64,,0.2865,,0.5778,95.64,Qwen2.5-0.5B-Instruct,kl0p025
TopK,8,64,Adam,0.0001,ppo_step30,6,64,,0.0004,,0.1275,98.59,Qwen2.5-0.5B-Instruct,kl0p025
TopK,8,64,Adam,0.0001,ppo_step30,12,64,,0.0007,,0.2216,97.08,Qwen2.5-0.5B-Instruct,kl0p025
TopK,8,64,Adam,0.0001,ppo_step30,18,64,,0.0033,,0.3042,96.35,Qwen2.5-0.5B-Instruct,kl0p025
TopK,8,64,Adam,0.0001,ppo_step30,23,64,,0.2892,,0.6102,95.74,Qwen2.5-0.5B-Instruct,kl0p025
TopK,8,64,Adam,0.0001,instruct_base,6,64,,0.0005,,0.1581,98.27,Qwen2.5-0.5B-Instruct,shuffled
TopK,8,64,Adam,0.0001,instruct_base,12,64,,0.0009,,0.3096,95.98,Qwen2.5-0.5B-Instruct,shuffled
TopK,8,64,Adam,0.0001,instruct_base,18,64,,0.0037,,0.3891,95.34,Qwen2.5-0.5B-Instruct,shuffled
TopK,8,64,Adam,0.0001,instruct_base,23,64,,0.3005,,0.6685,94.93,Qwen2.5-0.5B-Instruct,shuffled
TopK,8,64,Adam,0.0001,ppo_step10,6,64,,0.0005,,0.1427,98.44,Qwen2.5-0.5B-Instruct,shuffled
TopK,8,64,Adam,0.0001,ppo_step10,12,64,,0.0007,,0.2418,96.86,Qwen2.5-0.5B-Instruct,shuffled
TopK,8,64,Adam,0.0001,ppo_step10,18,64,,0.0036,,0.3714,95.56,Qwen2.5-0.5B-Instruct,shuffled
TopK,8,64,Adam,0.0001,ppo_step10,23,64,,0.2871,,0.6047,95.49,Qwen2.5-0.5B-Instruct,shuffled
TopK,8,64,Adam,0.0001,ppo_step30,6,64,,0.0004,,0.1316,98.56,Qwen2.5-0.5B-Instruct,shuffled
TopK,8,64,Adam,0.0001,ppo_step30,12,64,,0.0007,,0.2234,97.1,Qwen2.5-0.5B-Instruct,shuffled
TopK,8,64,Adam,0.0001,ppo_step30,18,64,,0.0033,,0.3378,95.99,Qwen2.5-0.5B-Instruct,shuffled
TopK,8,64,Adam,0.0001,ppo_step30,23,64,,0.2823,,0.5787,95.71,Qwen2.5-0.5B-Instruct,shuffled
