expansion_factor,steps,l0_coefficient,loss,mse,explained_var,cosine_sim,hard_l0,soft_l0,dead_frac_batch,fire_rate_mean,fire_rate_p50,fire_rate_p90,features_gt_1pct_firing,features_gt_10pct_firing,mean_threshold,threshold_p10,threshold_p50,threshold_p90,min_threshold,max_threshold,grad_norm,decoder_norm_mean,decoder_norm_min,decoder_norm_max
x32,20k,3.00E-05,0.01938,0.011123,0.988827,0.913681,49.516,275.239,0.353202,0.001727,0.000244,0.002197,0.035435,0.001081,0.046218,0.015596,0.01978,0.058202,0.011281,0.618485,0.027301,1,1,1
x32,20k,0.0001,0.020743,0.014812,0.985121,0.882504,21.276,59.313,0.8765,0.000742,0,0.000244,0.019636,0.000209,0.136639,0.083226,0.099964,0.29015,0.065415,0.521861,0.012114,1,1,1
x32,20k,0.0003,0.024249,0.019341,0.980572,0.842634,15.361,16.36,0.903913,0.000536,0,0,0.009591,3.50E-05,0.253802,0.189771,0.227418,0.358211,0.131555,0.751067,0.029163,1,1,1
x32,50k,1.00E-05,0.010605,0.006816,0.992835,0.948935,139.458,378.886,0.212612,0.004864,0.000488,0.003662,0.046108,0.017962,0.028828,0.005331,0.00847,0.153147,0.001957,0.396276,0.058102,1,1,1
x32,50k,3.00E-05,0.014274,0.010827,0.988618,0.91695,36.607,114.924,0.716518,0.001277,0,0.001465,0.03118,0.000907,0.047231,0.012969,0.020216,0.07571,0.00233,0.640565,0.032097,1,1,1
x64,5k,1.00E-05,0.018838,0.005226,0.995093,0.963434,387.573,1361.181,0.307181,0.006759,0.000488,0.003906,0.040562,0.017822,0.057386,0.049598,0.056261,0.062251,0.046115,0.126577,0.141954,1,1,1
x64,5k,3.00E-05,0.038109,0.011106,0.989571,0.921329,186.971,900.102,0.318429,0.003261,0.000244,0.003906,0.030762,0.005214,0.056271,0.05303,0.055115,0.056815,0.050351,0.132508,0.23171,1,1,1
x64,5k,1.00E-04,0.060222,0.015961,0.985012,0.879379,143.919,442.614,0.535069,0.00251,0,0.003906,0.018171,0.001081,0.05886,0.057815,0.058483,0.0588,0.056062,0.127963,0.211745,1,1,1
x64,5k,0.0003,0.149483,0.028454,0.973281,0.827997,213.829,403.431,0.185407,0.003729,0.003906,0.003906,0.01137,0.00075,0.059605,0.059246,0.059347,0.059518,0.055122,0.118769,1.252792,1,1,1
x64,5k,0.001,0.463079,0.061232,0.942502,0.745127,236.435,401.848,0.015451,0.004123,0.003906,0.003906,0.00565,0.000314,0.059031,0.058763,0.05889,0.05907,0.054479,0.099979,2.99046,1,1,1
x64,5k,0.003,1.291003,0.167804,0.842429,0.57663,228.477,374.4,0.000209,0.003984,0.003906,0.003906,0.001971,0.000157,0.057734,0.057543,0.057705,0.057866,0.055623,0.077045,7.663793,1,1,1
x64,5k,0.01,4.210498,0.76308,0.283452,0.299785,224.387,344.742,0,0.003913,0.003906,0.003906,0.000122,1.70E-05,0.055594,0.055367,0.055593,0.055818,0.052783,0.070776,28.522983,1,1,1
x64,5k,0.03,11.705782,2.049184,-0.924228,0.214251,224,321.887,0,0.003906,0.003906,0.003906,0,0.00E+00,0.052704,0.052421,0.052701,0.05299,0.051685,0.053656,73.603256,1,1,1
x64,20k,1.00E-05,0.019486,0.007595,0.990683,0.945873,214.005,1189.113,0.093384,0.003732,0.000732,0.003906,0.026228,0.0113,0.026234,0.013451,0.016283,0.023829,0.008801,0.468259,0.089012,1,1,1
x64,20k,3.00E-05,0.026208,0.011372,0.98605,0.911944,58.663,494.552,0.399519,0.001023,0.000244,0.000977,0.01859,0.000506,0.037148,0.017599,0.023002,0.048066,0.011615,0.384824,0.015232,1,1,1
x64,50k,1.00E-05,0.015002,0.006916,0.990611,0.947633,158.618,808.646,0.113874,0.002766,0.000488,0.001465,0.023455,0.009016,0.017218,0.004757,0.006334,0.008894,0.001994,0.883457,0.017501,1,1,1
x64,50k,3.00E-05,0.017774,0.010885,0.985223,0.916849,42.095,229.627,0.668631,0.000734,0,0.000488,0.016375,0.000384,0.032669,0.012064,0.017668,0.042342,0.002782,1.200214,0.06052,1,1,1
