training_regime,chain,stage,layer,k,d_sae,nmse,mean_l0,L_base,L_sae,L_mean,frac_rec,step,n_tokens,mse,var,nmse_recomputed,mean_l0_raw,n_dead,dead_frac,dead_latents_pct,frac_rec_pct,delta_loss,expansion,model,architecture,optimizer,lr,checkpoint
SFT,sft,sft_step116,18,64,7168,0.00350000,64.00000000,2.39980000,2.56890000,10.29370000,0.97860000,116,44574,0.16628500,47.70956800,0.00348500,64.00000000,30,0.00418500,0.41850000,97.86000000,0.16910000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step116
SFT,sft,sft_step174,18,64,7168,0.00390000,64.00000000,2.92270000,3.24050000,11.02680000,0.96080000,174,44574,0.18891600,48.15478900,0.00392300,64.00000000,6,0.00083700,0.08370000,96.08000000,0.31780000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step174
SFT,sft,sft_step232,18,64,7168,0.00390000,64.00000000,2.98750000,3.28850000,10.82030000,0.96160000,232,44574,0.18818500,47.80957000,0.00393600,64.00000000,13,0.00181400,0.18140000,96.16000000,0.30100000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step232
SFT,sft,sft_step290,18,64,7168,0.00420000,64.00000000,3.62150000,4.06020000,10.84780000,0.93930000,290,44574,0.19861900,47.78463000,0.00415700,64.00000000,6,0.00083700,0.08370000,93.93000000,0.43870000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step290
SFT,sft,sft_step348,18,64,7168,0.00410000,64.00000000,3.57400000,4.00840000,10.81540000,0.94000000,348,44574,0.19799100,47.84379600,0.00413800,64.00000000,6,0.00083700,0.08370000,94.00000000,0.43440000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step348
SFT,sft,instruct_base,23,256,7168,0.17720000,256.00000000,2.44450000,2.72330000,15.62020000,0.97880000,0,89148,0.53794400,3.03565000,0.17720900,256.00000000,0,0.00000000,0.00000000,97.88000000,0.27880000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,instruct_base
SFT,sft,sft_step29,23,64,7168,0.30080000,64.00000000,2.50160000,3.15010000,14.93380000,0.94780000,29,44574,0.96599700,3.21162300,0.30078100,64.00000000,0,0.00000000,0.00000000,94.78000000,0.64850000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step29
SFT,sft,sft_step58,23,64,7168,0.27560000,64.00000000,2.41530000,2.93950000,13.13740000,0.95110000,58,44574,0.95900900,3.47949000,0.27561800,64.00000000,0,0.00000000,0.00000000,95.11000000,0.52420000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step58
SFT,sft,sft_step116,23,64,7168,0.26110000,64.00000000,2.39980000,2.88960000,12.93770000,0.95350000,116,44574,0.93083600,3.56563800,0.26105700,64.00000000,0,0.00000000,0.00000000,95.35000000,0.48980000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step116
SFT,sft,sft_step174,23,64,7168,0.33900000,64.00000000,2.92270000,3.65570000,18.41800000,0.95270000,174,44574,1.09624200,3.23396200,0.33897800,64.00000000,0,0.00000000,0.00000000,95.27000000,0.73300000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step174
SFT,sft,sft_step232,23,64,7168,0.34550000,64.00000000,2.98750000,3.72430000,19.22430000,0.95460000,232,44574,1.10765800,3.20570100,0.34552800,64.00000000,0,0.00000000,0.00000000,95.46000000,0.73680000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step232
SFT,sft,sft_step290,23,64,7168,0.37050000,64.00000000,3.62150000,4.49510000,23.02390000,0.95500000,290,44574,1.15531600,3.11815700,0.37051300,64.00000000,0,0.00000000,0.00000000,95.50000000,0.87360000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step290
SFT,sft,sft_step348,23,64,7168,0.37090000,64.00000000,3.57400000,4.45220000,22.85620000,0.95450000,348,44574,1.15989500,3.12757000,0.37086100,64.00000000,0,0.00000000,0.00000000,95.45000000,0.87820000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step348
PPO,flexible,instruct_base,6,64,7168,0.00050000,64.00000000,2.43880000,2.60400000,11.55460000,0.98190000,0,89148,0.02378800,45.22253000,0.00052600,64.00000000,43,0.00599900,0.59990000,98.19000000,0.16520000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,instruct_base
PPO,flexible,ppo_step10,6,64,7168,0.00050000,64.00000000,2.46220000,2.56640000,11.57660000,0.98860000,10,89148,0.02041300,45.23480600,0.00045100,64.00000000,174,0.02427500,2.42750000,98.86000000,0.10420000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step10
PPO,flexible,ppo_step30,6,64,7168,0.00040000,64.00000000,2.60710000,2.71420000,11.60140000,0.98810000,30,89148,0.01883300,45.23960100,0.00041600,64.00000000,157,0.02190300,2.19030000,98.81000000,0.10710000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step30
PPO,flexible,ppo_step60,6,64,7168,0.00040000,64.00000000,2.81640000,2.91720000,11.64720000,0.98860000,60,89148,0.01667300,45.18436800,0.00036900,64.00000000,71,0.00990500,0.99050000,98.86000000,0.10080000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step60
PPO,flexible,ppo_step100,6,64,7168,0.00040000,64.00000000,3.06340000,3.19230000,11.66280000,0.98500000,100,89148,0.01654900,45.13591400,0.00036700,64.00000000,16,0.00223200,0.22320000,98.50000000,0.12890000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step100
PPO,flexible,ppo_step140,6,64,7168,0.00040000,64.00000000,3.17180000,3.32680000,11.60190000,0.98160000,140,89148,0.01662700,45.10624300,0.00036900,64.00000000,104,0.01450900,1.45090000,98.16000000,0.15500000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step140
PPO,flexible,ppo_step180,6,64,7168,0.00040000,64.00000000,3.24110000,3.39910000,11.78870000,0.98150000,180,89148,0.01575200,44.96047600,0.00035000,64.00000000,20,0.00279000,0.27900000,98.15000000,0.15800000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step180
PPO,flexible,ppo_step200,6,64,7168,0.00040000,64.00000000,3.22760000,3.39030000,11.83720000,0.98110000,200,89148,0.01580800,44.99652100,0.00035100,64.00000000,49,0.00683600,0.68360000,98.11000000,0.16270000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step200
PPO,flexible,instruct_base,12,64,7168,0.00090000,64.00000000,2.43880000,2.74180000,10.10970000,0.96050000,0,89148,0.04081300,45.68994900,0.00089300,64.00000000,80,0.01116100,1.11610000,96.05000000,0.30300000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,instruct_base
PPO,flexible,ppo_step10,12,64,7168,0.00080000,64.00000000,2.46220000,2.74790000,10.11380000,0.96270000,10,89148,0.03877800,45.70230500,0.00084800,64.00000000,58,0.00809200,0.80920000,96.27000000,0.28570000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step10
