chain,stage,layer,k,d_sae,n_tokens,mse,var,nmse,mean_l0,n_dead,dead_frac
strict,ppo_step10,12,64,7168,44574,0.036091,47.534019,0.000759,64.00,101,0.014090
strict,ppo_step30,12,64,7168,44574,0.033617,47.518730,0.000707,64.00,169,0.023577
strict,ppo_step50,12,64,7168,44574,0.032003,47.473694,0.000674,64.00,78,0.010882
strict,ppo_step80,12,64,7168,44574,0.031293,47.419441,0.000660,64.00,84,0.011719
strict,ppo_step116,12,64,7168,44574,0.030873,47.325512,0.000652,64.00,14,0.001953
strict,instruct_base,18,64,7168,44574,0.172773,48.261307,0.003580,64.00,109,0.015206
strict,ppo_step10,18,64,7168,44574,0.161205,48.266201,0.003340,64.00,104,0.014509
strict,ppo_step30,18,64,7168,44574,0.158272,48.229630,0.003282,64.00,87,0.012137
strict,ppo_step50,18,64,7168,44574,0.155370,48.178093,0.003225,64.00,12,0.001674
strict,ppo_step80,18,64,7168,44574,0.155357,48.123180,0.003228,64.00,11,0.001535
strict,ppo_step116,18,64,7168,44574,0.156340,48.022228,0.003256,64.00,12,0.001674
strict,instruct_base,23,64,7168,44574,0.870243,3.061284,0.284274,64.00,0,0.000000
strict,ppo_step10,23,64,7168,44574,0.859113,3.056341,0.281092,64.00,0,0.000000
strict,ppo_step30,23,64,7168,44574,0.860826,2.969079,0.289931,64.00,0,0.000000
strict,ppo_step50,23,64,7168,44574,0.851184,2.930246,0.290482,64.00,0,0.000000
strict,ppo_step80,23,64,7168,44574,0.845209,2.922832,0.289175,64.00,0,0.000000
strict,ppo_step116,23,64,7168,44574,0.836319,2.887591,0.289625,64.00,0,0.000000
strict_l23_k256,instruct_base,23,256,7168,44574,0.536134,3.061284,0.175134,256.00,0,0.000000
strict_l23_k256,ppo_step10,23,256,7168,44574,0.498944,3.056341,0.163249,256.00,0,0.000000
strict_l23_k256,ppo_step30,23,256,7168,44574,0.484634,2.969079,0.163227,256.00,0,0.000000
strict_l23_k256,ppo_step50,23,256,7168,44574,0.466874,2.930246,0.159329,256.00,0,0.000000
strict_l23_k256,ppo_step80,23,256,7168,44574,0.453718,2.922832,0.155232,256.00,0,0.000000
strict_l23_k256,ppo_step116,23,256,7168,44574,0.440062,2.887591,0.152398,256.00,0,0.000000
